Spanish,English
año,year
país,country
tiempo,time
parte,part
vida,life
años,years
día,day
vez,time
persona,person
mujer,woman
caso,case
hombre,man
momento,moment
mundo,world
casa,house
cosa,thing
gobierno,government
lugar,place
trabajo,work
forma,form
estado,state
grupo,group
punto,point
niño,child
ciudad,city
problema,problem
sistema,system
presidente,president
manera,way
historia,history
tipo,type
millones,millions
partido,party
mes,month
noche,night
obra,work
equipo,team
proceso,process
veces,times
cambio,change
hijo,son
centro,center
servicio,service
empresa,company
cuenta,account
mano,hand
nivel,level
proyecto,project
gente,people
agua,water
hora,time
padre,parent
desarrollo,development
semana,week
lado,side
familia,family
situación,situation
madre,mother
información,information
fin,end
programa,program
salud,health
cuerpo,body
actividad,activity
derecho,right
ejemplo,example
libro,book
medio,middle
tema,topic
días,days
ley,law
hecho,fact
zona,zone
nombre,name
resultado,result
número,number
final,end
sector,sector
calle,street
estudio,study
puerta,door
investigación,research
espacio,space
sociedad,society
acción,action
pueblo,town
director,director
realidad,reality
voz,voice
producto,product
amigo,friend
mercado,market
cabeza,head
población,population
muerte,death
minuto,minute
tierra,land
verdad,truth
sentido,sense
hermano,brother
medida,measure
seguridad,security
imagen,image
comunidad,community
poder,power
universidad,university
uso,use
razón,reason
organización,organization
idea,idea
educación,education
paso,step
área,area
siglo,century
objetivo,target
dato,data
posibilidad,possibility
producción,production
joven,youth
necesidad,need
policía,police
especie,species
camino,path
plan,plan
arte,art
atención,attention
ciento,hundred
política,policy
decisión,decision
cultura,culture
luz,light
mayoría,majority
mañana,morning
enfermedad,disease
relación,relationship
juego,game
campo,field
edad,age
experiencia,experience
riesgo,risk
fuerza,force
calidad,quality
ojos,eyes
región,region
amor,love
horas,hours
movimiento,movement
palabra,word
guerra,war
dinero,money
capacidad,capacity
autor,author
dólar,dollar
precio,price
acuerdo,agreement
cara,face
control,control
modelo,model
frente,front
tarde,afternoon
autoridad,authority
película,film
línea,line
red,network
condiciones,conditions
falta,fault
peso,weight
modo,mode
música,music
ministro,minister
fondo,background
base,base
orden,order
clase,class
presencia,presence
función,function
mesa,table
actor,actor
respuesta,answer
ocasión,occasion
principio,principle
paciente,patient
efecto,effect
diferencia,difference
señor,mister
papel,paper
serie,series
manos,hands
capital,capital
fuente,source
duda,doubt
aspecto,aspect
miembro,member
compañía,company
jefe,boss
jugador,player
vista,view
cantidad,quantity
dirección,address
valor,value
resto,rest
silencio,silence
ex,ex
aire,air
metro,metro
teatro,theater
apoyo,support
mirada,look
tecnología,technology
personaje,character
energía,energy
viaje,trip
futuro,future
acto,event
artista,artist
época,period
ministerio,ministry
sueño,dream
euro,euro
causa,cause
sitio,site
figura,figure
consejo,advice
cargo,position
profesor,professor
propuesta,proposal
cine,cinema
escuela,school
ojo,eye
público,public
objeto,object
recursos,resources
tratamiento,treatment
compañero,colleague
libertad,freedom
participación,participation
asunto,subject
interés,interest
unidad,unit
banco,bank
vuelta,back
posición,position
carrera,career
palabras,words
planta,plant
práctica,practice
esfuerzo,effort
comunicación,communication
comisión,commission
economía,economy
ser,being
análisis,analysis
pie,footer
relaciones,relations
conocimiento,knowledge
crisis,crisis
premio,award
encuentro,meeting
conjunto,set
consecuencia,consequence
suelo,soil
década,decade
texto,text
miedo,fear
estudiante,student
título,title
origen,source
médico,doctor
formación,training
fecha,date
boca,mouth
sol,sun
éxito,success
entrada,entry
sala,room
crecimiento,growth
reunión,meeting
animal,animal
informe,report
hospital,hospital
importancia,importance
negocio,business
mar,sea
consumo,consumption
artículo,article
prensa,press
carta,letter
departamento,department
material,material
estrategia,strategy
construcción,construction
televisión,television
color,color
estructura,structure
libre,free
seguro,safe
común,common
privado,private
central,central
popular,popular
dicho,such
físico,physical
superior,top
joven,young